date,title,description,sentiment,confidence,sentiment_score
2026-03-09,"Dear Oracle Stock Fans, Mark Your Calendars for March 10",Oracle stock is heading into a key earnings event as investors evaluate whether its explosive cloud backlog and AI infrastructure momentum can sustain long...,neutral,0.9362772703170776,0
2026-03-08,Show HN: I logged Gemini's stock predictions for 38 days to study LLM drift,"Article URL: https://huggingface.co/datasets/louidev/glassballai
Comments URL: https://news.ycombinator.com/item?id=47296932
Points: 1
# Comments: 1",neutral,0.8961710333824158,0
2026-03-07,Alphabet: Apple AI Deal Is The Biggest Blind Spot - Seeking Alpha,"Alphabet: Apple AI Deal Is The Biggest Blind SpotSeeking Alpha Alphabet (GOOG) Doubled by the End of the Year. Here’s HowYahoo Finance Is Alphabet Stock Going to $1,000?The Motley Fool Is Google Stock Still Cheap or Is It Time to Let Go?Nasdaq Why the Charts …",neutral,0.878246009349823,0
2026-03-05,Alphabet Stock Edges Lower in Early Trading as AI Capex Concerns Weigh Amid Geopolitical Volatility,"Alphabet Inc. shares dipped modestly in early U.S. trading Friday, reflecting broader market caution driven by surging oil prices and ongoing Middle East tensions, while investors continued to digest the company's massive 2026 capital expenditure plans tied t…",negative,0.9590907096862793,-1
2026-03-05,Alphabet (GOOGL) is Continuing Its Developments in Strong AI Launches,"Patient Capital Management, a value investing firm, released its “Patient Opportunity Equity Strategy” fourth-quarter 2025 investor letter. A copy of the...",positive,0.7645260691642761,1
2026-03-03,Alphabet Stock Dips to $306 Amid Geopolitical Volatility and Heavy AI CapEx Outlook,"Alphabet Inc. (NASDAQ: GOOG) shares closed at $306.36 on March 2, 2026, down 1.63% or $5.07 from the prior session, reflecting broader market pressure from escalating Middle East conflict and investor caution over the company's aggressive capital expenditure …",negative,0.9678851366043091,-1
2026-02-25,IonQ Just Won a Golden Dome Contract. Should You Buy the Quantum Computing Stock Now?,"IonQ’s Golden Dome contract eligibility boosts its defense profile, but lofty valuations keep the quantum stock a high-risk, high-reward bet.",neutral,0.9100117087364197,0
2026-02-24,Alphabet Stock Holds Steady Near $312 Amid AI Spending Surge and Analyst Upgrades,"Alphabet Inc., the parent company of Google, saw its shares close at $311.69 on Monday, February 23, 2026, down 1.02% from the previous session but remaining resilient in a volatile tech sector.",positive,0.5995696783065796,1
2026-02-24,Meta and AMD announce 6-gigawatt GPU deal as part of AI buildout,Meta and AMD are entering into a multiyear deal as part of the social media giant's massive AI buildout.,positive,0.667540431022644,1
2026-02-23,Billionaire David Tepper Just Loaded Up On These Tech Stocks,"It is the 13F season, where investors get a sneak peek into where billionaires are putting their money. One of the top hedge funds, Appaloosa Management, had...",neutral,0.8853756189346313,0
2026-02-21,Ray Dalio Sours On America And Sold These Tech Stocks,Legendary investor Ray Dalio has repeatedly expressed concerns about the U.S. economy. He’s discussed the unsustainable debt and geopolitical conflicts and...,negative,0.5254115462303162,-1
2026-02-20,Paul Tudor Jones Is Betting Big on Google Stock. Should You?,Paul Tudor has bought a fresh position on tech giant Google and more.,neutral,0.9180827140808105,0
2026-02-19,Meet Sparky—the AI Chatbot Walmart Says Is a Whiz at Sales,"Shoppers using Sparky place orders that are, on average, 35% larger, CFO John David Rainey said on a conference call.",neutral,0.848699152469635,0
2026-02-19,"Dear Snowflake Stock Fans, Mark Your Calendars for February 25","With tech sector volatility swirling, Snowflake’s upcoming earnings report might be the kind of event investors circle in advance.",neutral,0.9329413175582886,0
2026-02-19,"Billionaire Bill Ackman Pours $1,764,796,000 Into Mag 7 Stock, Dumps Entire Stake in Chipotle Restaurant Chain",Billionaire Bill Ackman’s investment firm just picked up more than 2.67 million shares of one magnificent seven stock. The latest 13-F filing with the U.S. Securities and Exchange Commission (SEC) shows Pershing Square Capital Management accumulated $1.76 bil…,neutral,0.5283559560775757,0
2026-02-18,What Makes Alphabet (GOOG) a Strong Investment?,"The London Company, an investment management company, released “The London Company Large Cap Strategy” fourth-quarter 2025 investor letter. In Q4 2025, US...",neutral,0.9112034440040588,0
2026-02-18,Why Did Buffett Dump Amazon?,"In his final quarter as CEO of Berkshire Hathaway (NYSE: BRK-B), Warren Buffett reallocated his technology holdings. In the process, he sold 75% of his...",neutral,0.8171221613883972,0
2026-02-14,Why Wedbush Thinks Norway Could Be Key for This Quantum Computing Stock -- and the Entire Industry,"Norway's sovereign wealth fund invested $200 million in IonQ, $39 million in Rigetti, and $4 million in D-Wave. Wedbush sees this as a potential turning...",neutral,0.8825390934944153,0
